ts_code,name,industry,trade_date,close,ma3,ma5,ma10,ma15,ma20,ma30,ma50,ma60,ma75,ma90,ma120,ma150,ma200,price_1_150,price_1_200,price_150_200,price_50_150,price_50_200,price_max_25,price_min_25,score
688789.SH,宏华数科,专用机械,20221202,183.87,177.7533,174.652,175.084,175.0293,173.322,169.8227,163.5292,166.7967,171.6781,174.406,175.5438,176.1602,179.1679,1,1,0,0,0,0,1,3
300603.SZ,立昂技术,通信设备,20221202,11.34,11.0733,10.984,10.704,10.6807,10.547,10.2843,9.8856,10.0332,10.1736,10.2274,10.4198,10.4658,11.0767,1,1,0,0,0,0,1,3
300597.SZ,吉大通信,通信设备,20221202,8.46,8.3367,8.218,8.211,8.246,8.23,8.161,7.9346,7.994,8.0928,8.157,8.1573,8.0545,8.4466,1,1,0,0,0,1,0,3
603018.SH,华设集团,建筑工程,20221202,8.33,8.28,8.296,8.278,8.262,8.2185,8.1113,8.0562,8.1577,8.252,8.3281,8.6042,8.6563,8.6151,0,0,1,0,0,1,1,3
002201.SZ,正威新材,玻璃,20221202,13.48,13.41,13.41,13.872,14.17,14.321,14.229,14.0104,14.1215,14.4523,14.8477,15.5117,14.6235,13.9345,0,0,1,0,1,0,1,3
002200.SZ,ST交投,建筑工程,20221202,8.04,8.0667,8.098,7.905,7.7653,7.652,7.451,7.3962,7.5075,7.5441,7.6188,7.6762,7.6625,7.9077,1,1,0,0,0,1,0,3
300592.SZ,华凯易佰,互联网,20221202,15.5,15.2233,15.146,15.146,15.2753,15.525,15.3383,15.039,14.9263,14.8433,14.8169,14.835,14.948,15.2612,1,1,0,1,0,0,0,3
002199.SZ,东晶电子,元器件,20221202,7.16,7.11,7.034,7.024,7.1047,7.1175,7.0337,6.8952,7.0025,7.4212,7.4567,7.2396,7.0131,7.0877,1,1,0,0,0,0,1,3
688222.SH,成都先导,化学制药,20221202,15.35,15.2733,15.288,15.498,16.0133,16.2465,16.278,16.6526,16.5432,16.5857,16.6956,16.534,15.8996,16.2636,0,0,0,1,1,0,1,3
600217.SH,中再资环,环境保护,20221202,5.37,5.4667,5.508,5.404,5.3527,5.364,5.1313,4.9084,4.933,4.9512,4.9489,4.9426,4.87,5.0428,1,1,0,1,0,0,0,3
603896.SH,寿仙谷,中成药,20221202,37.43,37.2533,36.954,37.36,37.9707,37.6155,36.886,35.8216,35.8318,35.6987,35.8532,36.7763,36.9554,37.9022,1,0,0,0,0,1,1,3
000532.SZ,华金资本,多元金融,20221202,11.38,11.2967,11.264,11.144,11.1533,11.13,10.9033,10.5746,10.645,10.7977,10.8818,11.0891,10.9916,11.0989,1,1,0,0,0,1,0,3
300376.SZ,易事特,电气设备,20221202,7.78,7.64,7.592,7.509,7.482,7.485,7.404,7.1928,7.2297,7.4716,7.6403,7.7418,7.565,7.7245,1,1,0,0,0,0,1,3
002177.SZ,*ST御银,IT设备,20221202,3.37,3.37,3.334,3.304,3.314,3.237,3.0537,2.8786,2.8698,2.8475,2.8331,2.7152,2.7024,3.3926,1,0,0,1,0,0,1,3
600825.SH,新华传媒,出版业,20221202,3.92,3.8867,3.896,3.838,3.8133,3.7755,3.668,3.6208,3.6647,3.7085,3.7218,3.7706,3.7882,3.9113,1,1,0,0,0,1,0,3
300449.SZ,汉邦高科,IT设备,20221202,5.35,5.23,5.178,5.242,5.3647,5.4185,5.3973,5.3128,5.3543,5.4551,5.5627,5.4214,5.2793,5.5087,1,0,0,1,0,0,1,3
300499.SZ,高澜股份,专用机械,20221202,11.94,11.6467,11.53,11.677,11.4213,11.338,11.1097,10.6034,10.5548,11.0024,11.4439,11.6608,11.2183,11.4634,1,1,0,0,0,0,1,3
600235.SH,民丰特纸,造纸,20221202,5.7,5.66,5.638,5.574,5.5413,5.5035,5.409,5.3108,5.3802,5.462,5.4927,5.5031,5.4493,5.5775,1,1,0,0,0,1,0,3
600237.SH,铜峰电子,元器件,20221202,7.11,6.9833,6.74,6.531,6.5453,6.4955,6.429,6.2682,6.3128,6.5987,6.8133,7.0132,6.8699,6.9925,1,1,0,0,0,0,1,3
600831.SH,广电网络,影视音像,20221202,5.96,5.8733,5.83,5.712,5.684,5.6485,5.486,5.3676,5.432,5.4823,5.5119,5.5802,5.6154,5.8418,1,1,0,0,0,1,0,3
300545.SZ,联得装备,专用机械,20221202,17.76,17.4433,17.306,17.866,18.1327,18.2755,18.3667,18.2762,18.4872,18.9624,19.0969,18.6373,17.9115,18.1332,0,0,0,1,1,0,1,3
000732.SZ,ST泰禾,区域地产,20221202,1.72,1.64,1.566,1.409,1.35,1.288,1.1813,1.1702,1.192,1.2011,1.207,1.2329,1.3056,1.7151,1,1,0,0,0,0,1,3
300510.SZ,金冠股份,电气设备,20221202,5.73,5.4333,5.438,5.335,5.2007,5.081,4.9137,4.7126,4.765,4.8564,4.9084,4.9022,4.7544,4.8944,1,1,0,0,0,0,1,3
603042.SH,华脉科技,通信设备,20221202,10.47,10.31,10.252,10.407,10.4907,10.507,10.46,10.2228,10.271,10.3741,10.4003,10.2848,10.0801,10.5875,1,0,0,1,0,1,0,3
000558.SZ,莱茵体育,文教休闲,20221202,3.02,3.0367,3.04,3.04,3.132,3.1895,3.1417,3.1164,3.0958,3.0601,3.0158,2.9678,2.9347,3.0261,1,0,0,1,1,0,0,3
002165.SZ,红宝丽,化工原料,20221202,4.58,4.5167,4.47,4.456,4.4927,4.5115,4.574,4.8042,4.9803,4.9484,4.8678,4.7429,4.598,4.6552,0,0,0,1,1,0,1,3
603045.SH,福达合金,电气设备,20221202,15.46,16.2633,17.01,17.609,17.6307,17.399,16.7367,16.6014,16.8013,16.9557,16.7993,16.6601,16.4081,16.5868,0,0,0,1,1,1,0,3
300514.SZ,友讯达,电器仪表,20221202,11.72,11.58,11.56,11.521,11.492,11.418,11.1773,10.4454,10.4095,10.646,10.793,10.7823,10.4933,10.744,1,1,0,0,0,0,1,3
603053.SH,成都燃气,供气供热,20221202,9.77,9.8533,9.738,9.546,9.484,9.4295,9.325,9.398,9.5477,9.7261,9.7098,9.6032,9.4351,9.4995,1,1,0,0,0,1,0,3
002153.SZ,石基信息,软件服务,20221202,14.93,14.99,14.706,14.424,14.784,14.788,14.288,13.565,13.622,13.5056,13.5767,13.8572,13.7992,14.199,1,1,0,0,0,0,1,3
002161.SZ,远望谷,通信设备,20221202,5.19,5.12,5.096,5.142,5.2253,5.2505,5.202,5.0802,5.1533,5.3935,5.5314,5.3696,5.1164,5.1691,1,1,0,0,0,0,1,3
300519.SZ,新光药业,中成药,20221202,17.45,17.5467,17.522,17.753,17.9367,17.7585,17.338,16.464,16.343,16.2445,16.263,16.5168,16.4419,17.1666,1,1,0,1,0,0,0,3
300501.SZ,海顺新材,广告包装,20221202,16.24,16.04,15.64,15.494,15.522,15.38,14.952,14.4956,14.7148,14.9605,15.0303,14.9594,14.7358,15.8971,1,1,0,0,0,0,1,3
603060.SH,国检集团,建筑工程,20221202,12.24,12.1267,11.692,11.255,11.1953,11.1595,10.9503,10.5612,10.5642,10.8005,11.099,11.3408,11.2243,11.6376,1,1,0,0,0,0,1,3
000563.SZ,陕国投A,多元金融,20221202,3.22,3.24,3.232,3.183,3.1727,3.1385,3.0707,3.036,3.0642,3.0848,3.083,3.0928,3.0645,3.0909,1,1,0,0,0,1,0,3
300493.SZ,润欣科技,元器件,20221202,6.83,6.72,6.674,6.677,6.732,6.7165,6.6373,6.442,6.5132,6.6225,6.685,6.6651,6.5684,6.8083,1,1,0,0,0,1,0,3
000545.SZ,金浦钛业,化工原料,20221202,3.92,3.92,3.896,3.902,3.9273,3.933,3.8897,3.9328,3.9878,4.1448,4.2699,4.299,4.1587,4.0611,0,0,1,0,0,1,1,3
603078.SH,江化微,半导体,20221202,22.28,22.3167,22.258,22.664,23.064,23.095,23.2233,22.6638,22.9545,23.678,24.0626,24.5666,24.3256,23.6556,0,0,1,0,0,1,1,3
603076.SH,乐惠国际,专用机械,20221202,38.08,36.0667,35.26,34.646,35.522,35.549,34.8623,35.7632,36.4708,38.8836,40.9848,40.6836,38.4941,37.2785,0,1,1,0,0,0,1,3
603037.SH,凯众股份,汽车配件,20221202,16.7,16.75,16.634,16.691,16.7147,16.716,16.5377,16.123,16.2743,16.4955,16.7052,16.6809,16.3032,16.3885,1,1,0,0,0,0,1,3
300465.SZ,高伟达,软件服务,20221202,9.61,8.9067,8.682,8.626,8.682,8.6355,8.528,8.2122,8.205,8.2553,8.2558,8.2758,8.2299,9.3526,1,1,0,0,0,0,1,3
300469.SZ,信息发展,软件服务,20221202,13.83,13.7167,13.73,13.826,14.034,14.0685,14.066,13.6278,13.5428,13.4515,13.4919,13.5823,13.5546,13.8081,1,1,0,1,0,0,0,3
688800.SH,瑞可达,元器件,20221202,117.31,115.3,112.528,111.97,111.7507,114.2075,114.9587,122.386,126.6135,131.0435,132.3657,131.537,126.0467,119.3695,0,0,1,0,1,0,1,3
002142.SZ,宁波银行,银行,20221202,31.46,31.8433,31.55,30.504,29.9607,29.0575,27.69,28.8318,29.1153,29.0605,29.2531,30.3026,30.9141,32.4408,1,0,0,0,0,1,1,3
688257.SH,新锐股份,机械基件,20221202,42.8,42.8233,41.424,40.649,38.978,37.784,36.468,34.8482,34.8347,35.4344,36.1418,36.7694,36.692,38.71,1,1,0,0,0,0,1,3
300478.SZ,杭州高新,塑料,20221202,10.48,10.38,10.31,10.335,10.344,10.312,10.184,10.1046,10.193,10.3245,10.3689,10.3581,10.3928,10.5923,1,0,0,0,0,1,1,3
300483.SZ,首华燃气,石油开采,20221202,15.07,15.2467,14.882,14.482,14.3107,14.1965,13.7657,14.0328,14.4198,14.8299,14.8368,14.709,14.4553,14.8178,1,1,0,0,0,0,1,3
300488.SZ,恒锋工具,机械基件,20221202,25.49,25.4333,25.158,25.199,24.9547,24.8765,24.846,23.6018,23.4237,23.7112,24.215,24.3105,23.8439,24.6354,1,1,0,0,0,0,1,3
300490.SZ,华自科技,电气设备,20221202,13.98,13.78,13.684,13.492,12.998,12.8945,12.5567,11.8644,11.876,12.3249,12.667,13.0086,12.6797,13.4362,1,1,0,0,0,0,1,3
300491.SZ,通合科技,电气设备,20221202,14.81,14.7367,14.68,14.759,14.9867,15.283,15.0827,13.935,13.8165,14.0955,14.3414,14.4294,14.096,14.2583,1,1,0,0,0,0,1,3
600828.SH,茂业商业,百货,20221202,3.63,3.5867,3.526,3.479,3.458,3.43,3.3667,3.4422,3.4932,3.4763,3.4524,3.4455,3.4517,3.5272,1,1,0,0,0,1,0,3
300346.SZ,南大光电,元器件,20221202,31.51,31.45,31.416,32.291,33.012,33.1835,33.219,32.3052,32.7935,33.544,33.6687,33.3581,32.3487,32.2112,0,0,1,0,1,0,1,3
600249.SH,两面针,日用化工,20221202,5.39,5.2933,5.238,5.318,5.3187,5.24,5.0857,4.929,4.9605,4.9695,4.9847,5.0038,4.9923,5.1373,1,1,0,0,0,1,0,3
002206.SZ,海利得,化纤,20221202,6.92,6.73,6.688,6.615,6.5753,6.547,6.2673,6.1148,6.2773,6.452,6.4446,6.4084,6.2078,6.2465,1,1,0,0,0,0,1,3
603185.SH,上机数控,电气设备,20221202,118.74,117.4467,116.742,119.593,122.648,126.674,128.065,133.0124,134.8625,139.964,143.6012,145.1115,135.3065,126.689,0,0,1,0,1,0,1,3
600383.SH,金地集团,全国地产,20221202,11.32,11.5933,11.718,11.082,10.8433,10.299,9.596,10.0974,10.4038,10.5853,10.6522,10.9021,11.1235,11.5741,1,0,0,0,0,1,1,3
000524.SZ,岭南控股,旅游服务,20221202,10.48,10.57,10.302,9.754,9.9127,9.97,9.6437,9.44,9.5628,9.5332,9.4994,9.8029,9.7681,9.9883,1,1,0,0,0,0,1,3
300658.SZ,延江股份,纺织,20221202,9.89,9.6233,9.528,9.507,9.4647,9.393,9.2183,9.2672,9.3985,9.6917,9.7416,9.5661,9.3478,9.5331,1,1,0,0,0,0,1,3
