ts_code,market,name,industry,trade_date,close,ma3,ma5,ma10,ma15,ma20,ma30,ma50,ma60,ma75,ma90,ma120,ma150,ma200,score1_3,score1_5,score1_10,score3_5,score3_10,score3_15,score3_20,score3_30,score5_10,score5_20,score5_30,week_score,month_score
002550.SZ,中小板,千红制药,生物制药,20221202,6.18,6.2267,6.188,6.16,6.1447,6.098,6.019,5.852,5.8487,5.7647,5.7348,5.7252,5.7354,5.664,0.5260836829084651,0.6543384539230539,0.6936752306459504,1.2437915776165678,1.3185644284022493,1.3721648457476838,1.4356153278225752,1.6505003029112768,1.0601168653424764,1.1542249952951058,1.3269910591242868,1.1279,1.8756
002554.SZ,中小板,惠博普,石油开采,20221202,4.04,3.9833,3.938,3.876,3.8647,3.865,3.8147,3.849,3.938,3.9727,3.9084,3.7905,3.6714,3.6324,1.0874576580927704,1.2531419365610854,1.3137272062806464,1.1523592916333858,1.2080720536602017,1.3850675190696848,1.4342071946715564,1.5479998464295888,1.0483466939793118,1.2445833561498618,1.3433309018018254,1.1016,0.8031
002564.SZ,中小板,天沃科技,建筑工程,20221202,5.66,5.4833,5.556,5.403,5.242,5.112,4.926,4.8516,4.9432,5.0896,5.1691,5.0323,4.8259,4.7589,1.2535996870386028,1.0016354631325066,1.2205262789300444,0.7990074291568189,0.9736172492299452,1.115300601822921,1.320140205443623,1.703886710014794,1.2185334124582414,1.6522251949981843,2.1325042144012123,1.5593,3.3589
002633.SZ,中小板,申科股份,机械基件,20221202,10.5,10.09,9.992,10.064,10.068,9.9955,9.799,9.6606,9.6913,9.9488,10.0443,9.8604,9.5362,9.4178,2.4115128207730008,3.3824496383525613,4.547380143277002,1.402625608794537,1.8856960262062208,2.0495079567101726,2.220885122474205,2.4644527244992367,1.3444043901542984,1.5833769956495432,1.757028182750256,2.0507,1.3103
002667.SZ,中小板,鞍重股份,工程机械,20221202,28.45,27.99,28.192,28.019,27.2953,27.247,26.3637,25.9608,25.9797,26.4932,26.4542,25.2461,24.156,23.0941,1.3162333498380645,1.4851980282355786,1.280749892188781,1.1283698505423083,0.9730416664692102,1.1612389363848017,1.0462790159472264,1.2296128322006714,0.8623428444153788,0.927248291368625,1.0897249971804053,0.758,2.0925
002683.SZ,中小板,广东宏大,化工原料,20221202,29.76,29.7067,29.34,28.248,28.1627,28.168,28.0477,27.8634,28.29,29.1532,29.4483,29.0549,27.4664,26.9361,0.7669036665272548,0.4961532564285263,0.7847304940763618,0.6469564276243992,1.0232451979657775,1.194736695999778,1.314115335467649,1.4367023744746483,1.5816292323164598,2.0312269564938603,2.2207096384375804,3.7804,1.3825
002698.SZ,中小板,博实股份,化工机械,20221202,15.02,14.8767,14.894,15.385,15.366,15.363,15.38,15.1738,15.2853,15.3959,15.137,14.2793,13.5011,12.8121,1.1372342966324338,1.0689943155796224,0.976918815781375,0.939994791526352,0.8590303850967356,0.827568486381784,0.8337764077319966,0.7990915510429987,0.9138671754785498,0.8870010932487409,0.8501021050823521,0.8414,0.9946
002728.SZ,中小板,特一药业,中成药,20221202,31.73,34.1833,33.064,31.227,28.7553,25.893,21.6777,17.7358,16.8058,15.9717,15.4821,15.1667,14.7069,14.679,0.7965040518062703,0.8564502853146138,0.9484474489978147,1.0752616805556738,1.1907628678686255,1.1994812361921507,1.3218597487430903,1.7319919923701963,1.1074168171354,1.229337725547868,1.610763243673984,1.2407,5.594
002788.SZ,中小板,鹭燕医药,医药商业,20221202,9.71,9.5233,9.448,9.28,9.3247,9.2485,9.0793,8.6524,8.5717,8.4436,8.3338,8.2455,8.1107,8.0744,0.933516177290194,1.1152013175876931,1.4618075252691125,1.1946245225496723,1.5659155790020052,1.6703714168587096,1.737681061539579,1.9303129706733904,1.3108014689501692,1.4545834517366745,1.6158323676074784,1.9019,1.5679
002790.SZ,中小板,瑞尔特,家居用品,20221202,9.35,9.2567,9.178,8.929,8.8387,8.6785,8.519,8.1734,8.1972,8.2985,8.377,8.1541,7.7628,7.6274,0.6322222682290589,0.6978708467250968,0.8171469856305692,1.1038378143179433,1.2924995317224586,1.174661818408207,1.4456266367377475,1.546348846977349,1.170914345347997,1.309636812570146,1.4008841035517807,1.4123,1.9427
