ts_code,industry,name,trade_date,ma1,ma3,ma5,ma10,ma15,ma20,ma30,ma45,ma60,score1_3,score1_5,score1_10,score3_5,score3_10,score3_15,score3_20,score3_30,score5_10,score5_20,score5_30,week_score,month_score,turnover_rate_score
000800.SZ,汽车整车,一汽解放,20221202,6.2392,2.947233333333333,1.93362,1.15965,0.9197333333333334,0.785405,0.6855466666666669,0.5848644444444444,0.5506633333333334,2.116968456292342,3.22669397296263,5.380244039149743,1.5242050316677183,2.5414852182411356,3.2044433169034496,3.7525013634154774,4.299099502100512,1.6674168930280686,2.4619400182071667,2.820551968258907,5.0135,1.7954,63.2499
600007.SH,园区开发,中国国贸,20221202,1.3068,1.7362000000000002,1.8182200000000002,1.08651,0.8037333333333334,0.668035,0.5212,0.4244533333333334,0.3980350000000001,0.7526782628729408,0.7187249067769576,1.2027500897368637,0.9548899473111064,1.5979604421496352,2.1601692103516923,2.598965623058672,3.331158864159632,1.6734498531996944,2.7217436212174513,3.488526477359939,5.1246,3.0328,63.2412
300594.SZ,运输设备,朗进科技,20221202,9.337,10.042033333333332,9.56368,6.019159999999999,4.9950866666666665,4.011474999999999,3.0067866666666663,2.4951555555555562,2.118055,0.9297917752380827,0.9762978267779767,1.5512131260840385,1.0500177058761202,1.6683446416665006,2.0103822022440716,2.5033269142480847,3.339789099326413,1.5888728659812998,2.3840806685820057,3.1806978878891754,3.8647,3.7325,62.6208
300965.SZ,航空,恒宇信通,20221202,8.467,10.0413,10.28952,5.941169999999999,4.485299999999999,3.73613,3.0494666666666665,2.4766200000000005,2.3382883333333337,0.843217511676775,0.822876091401737,1.4251401659942406,0.9758764257224827,1.6901216427067398,2.238713129556552,2.68762061277311,3.292805299287307,1.7319012921697245,2.7540583437942465,3.374203139346771,6.4599,2.5128,62.0727
600647.SH,综合类,同达创业,20221202,10.0863,12.166733333333333,8.63486,7.009829999999999,5.077566666666667,4.078100000000001,3.1222533333333335,2.540553333333333,2.605306666666666,0.8290064164031977,1.1680907391665876,1.4388794022108955,1.4090249677856195,1.735667388985658,2.396174020364085,2.983431826912859,3.8967796762167493,1.2318215990972678,2.117373286579534,2.7655859656914448,1.6036,3.5521,61.901
300942.SZ,医疗保健,易瑞生物,20221202,33.0542,25.563299999999998,18.80708,13.167840000000002,11.882873333333334,10.83494,7.900033333333334,5.78556,4.654211666666667,1.2930333720607279,1.7575402454820208,2.510221873898832,1.3592381167092393,1.9413434549630004,2.151272615882466,2.359339322598925,3.2358471061303535,1.4282585450613006,1.7357807242125938,2.3806329931097334,2.4981,5.8222,61.5585
002926.SZ,证券,华西证券,20221202,3.0346,4.8925,3.7839,2.1027700000000005,1.7126600000000003,1.471625,1.2637066666666665,1.0330022222222222,1.0620366666666667,0.6202554931016863,0.801976796426967,1.4431440433333171,1.2929781442427126,2.3266928860503047,2.8566674062569333,3.3245561878875396,3.8715471944966136,1.7994835383803265,2.571239276310201,2.994286648800355,8.9742,2.0487,61.3021
605011.SH,供气供热,杭州热电,20221202,2.8863,5.014033333333333,6.503020000000001,3.98508,2.9211133333333326,2.40194,1.8286366666666667,1.457668888888889,1.3945016666666668,0.5756443581680749,0.44383993898219587,0.7242765515372338,0.7710315104879475,1.2582014246472675,1.7164802461162072,2.0874931652469804,2.741951654328999,1.6318417698013594,2.707403182427538,3.5562121872214463,4.4324,3.4419,60.8581
600778.SH,百货,友好集团,20221202,4.3143,5.931733333333334,7.0603,4.16766,3.0180933333333333,2.3798450000000004,1.8359300000000003,1.4987711111111117,1.8512350000000002,0.7273253461607625,0.6110646856365878,1.0351852118454963,0.8401531568535804,1.4232766908369048,1.9653909532287495,2.4924872558226827,3.230914758914192,1.6940681341568171,2.9667058148744974,3.8456259225569593,5.5374,3.0817,60.6707
605003.SH,纺织,众望布艺,20221202,32.1131,13.640099999999999,12.993860000000002,8.71095,6.876286666666667,5.716110000000001,4.41539,3.558531111111111,3.0514083333333333,2.3543155841965975,2.471405725473416,3.686520987951946,1.049734259103915,1.5658567664835636,1.9836433036047554,2.386255687871646,3.0892174870170015,1.4916696801152574,2.273199780969925,2.942856689896023,2.9344,3.6077,60.5256
